,Company Name,Code,Date of Filing,Filing Type,weblink
0,180 Degree Capital Corp,TURN,3/15/2017,10-K,https://www.sec.gov/Archives/edgar/data/893739/000089373917000017/0000893739-17-000017-index.htm
1,180 Degree Capital Corp,TURN,3/15/2016,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420416088169/0001144204-16-088169-index.htm
2,180 Degree Capital Corp,TURN,3/16/2015,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420415016426/0001144204-15-016426-index.htm
3,180 Degree Capital Corp,TURN,3/17/2014,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420414015868/0001144204-14-015868-index.htm
4,180 Degree Capital Corp,TURN,3/15/2013,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420413015466/0001144204-13-015466-index.htm
5,180 Degree Capital Corp,TURN,3/14/2012,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420412014956/0001144204-12-014956-index.htm
6,180 Degree Capital Corp,TURN,3/16/2011,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420411015030/0001144204-11-015030-index.htm
7,180 Degree Capital Corp,TURN,3/16/2010,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420410013589/0001144204-10-013589-index.htm
8,180 Degree Capital Corp,TURN,3/16/2009,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420409014031/0001144204-09-014031-index.htm
9,180 Degree Capital Corp,TURN,3/13/2008,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420408014898/0001144204-08-014898-index.htm
10,180 Degree Capital Corp,TURN,3/16/2007,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420407012984/0001144204-07-012984-index.htm
11,180 Degree Capital Corp,TURN,3/16/2006,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420406010328/0001144204-06-010328-index.htm
12,180 Degree Capital Corp,TURN,3/16/2005,10-K,https://www.sec.gov/Archives/edgar/data/893739/000114420405007698/0001144204-05-007698-index.htm
13,180 Degree Capital Corp,TURN,3/11/2004,10-K,https://www.sec.gov/Archives/edgar/data/893739/000089373904000007/0000893739-04-000007-index.htm
