,Company Name,Code,Date of Filing,Filing Type,weblink
0,Actua corp,ACTA,3/31/2017,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000108562117000004/0001085621-17-000004-index.htm
1,Actua corp,ACTA,3/15/2016,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000108562116000012/0001085621-16-000012-index.htm
2,Actua corp,ACTA,3/3/2015,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000156459015001219/0001564590-15-001219-index.htm
3,Actua corp,ACTA,3/17/2014,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000156459014000863/0001564590-14-000863-index.htm
4,Actua corp,ACTA,3/18/2013,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000119312513112775/0001193125-13-112775-index.htm
5,Actua corp,ACTA,3/15/2012,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000119312512117265/0001193125-12-117265-index.htm
7,Actua corp,ACTA,3/16/2011,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000095012311025995/0000950123-11-025995-index.htm
10,Actua corp,ACTA,3/16/2010,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000095012310025291/0000950123-10-025291-index.htm
13,Actua corp,ACTA,3/16/2009,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000136231009003909/0001362310-09-003909-index.htm
14,Actua corp,ACTA,3/17/2008,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000089322008000746/0000893220-08-000746-index.htm
15,Actua corp,ACTA,3/16/2007,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000089322007000800/0000893220-07-000800-index.htm
16,Actua corp,ACTA,3/15/2006,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000089322006000558/0000893220-06-000558-index.htm
17,Actua corp,ACTA,3/16/2005,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000089322005000586/0000893220-05-000586-index.htm
19,Actua corp,ACTA,3/15/2004,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000119312504042335/0001193125-04-042335-index.htm
22,Actua corp,ACTA,3/31/2003,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000089322003000526/0000893220-03-000526-index.htm
23,Actua corp,ACTA,4/1/2002,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000089322002000403/0000893220-02-000403-index.htm
25,Actua corp,ACTA,4/2/2001,10-K,https://www.sec.gov/Archives/edgar/data/1085621/000089322001000425/0000893220-01-000425-index.htm
27,Actua corp,ACTA,3/16/2000,10-K,https://www.sec.gov/Archives/edgar/data/1085621/0001036050-00-000365-index.html
28,Acxiom corp,ACXM,5/26/2017,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326917000039/0000733269-17-000039-index.htm
29,Acxiom corp,ACXM,5/27/2016,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326916000060/0000733269-16-000060-index.htm
30,Acxiom corp,ACXM,5/27/2015,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326915000018/0000733269-15-000018-index.htm
31,Acxiom corp,ACXM,5/28/2014,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326914000018/0000733269-14-000018-index.htm
32,Acxiom corp,ACXM,5/29/2013,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326913000012/0000733269-13-000012-index.htm
33,Acxiom corp,ACXM,5/25/2012,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326912000015/0000733269-12-000015-index.htm
34,Acxiom corp,ACXM,5/27/2011,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326911000016/0000733269-11-000016-index.htm
35,Acxiom corp,ACXM,5/26/2010,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326910000065/0000733269-10-000065-index.htm
37,Acxiom corp,ACXM,5/29/2009,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326909000013/0000733269-09-000013-index.htm
38,Acxiom corp,ACXM,5/30/2008,10-K,https://www.sec.gov/Archives/edgar/data/733269/000116923208002230/0001169232-08-002230-index.htm
40,Acxiom corp,ACXM,5/30/2007,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326907000023/0000733269-07-000023-index.htm
42,Acxiom corp,ACXM,6/14/2006,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326906000021/0000733269-06-000021-index.htm
43,Acxiom corp,ACXM,6/13/2005,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326905000034/0000733269-05-000034-index.htm
44,Acxiom corp,ACXM,6/14/2004,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326904000010/0000733269-04-000010-index.htm
45,Acxiom corp,ACXM,6/9/2003,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326903000006/0000733269-03-000006-index.htm
46,Acxiom corp,ACXM,5/16/2002,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326902000004/0000733269-02-000004-index.htm
47,Acxiom corp,ACXM,6/27/2001,10-K,https://www.sec.gov/Archives/edgar/data/733269/000073326901500016/0000733269-01-500016-index.htm
